TimeBST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
12:20 AM,17.0,14.0,82,1010,10.0,SSE,22.2,-,N/A,,Scattered Clouds,160,2014-10-17 23:20:00
12:50 AM,17.0,14.0,82,1010,10.0,SSE,20.4,-,N/A,,Mostly Cloudy,150,2014-10-17 23:50:00
1:20 AM,17.0,15.0,88,1010,7.0,SSE,22.2,-,N/A,,Drizzle,150,2014-10-18 00:20:00
1:50 AM,17.0,15.0,88,1009,10.0,SSE,16.7,-,N/A,,Partly Cloudy,160,2014-10-18 00:50:00
2:20 AM,17.0,15.0,88,1009,10.0,South,18.5,-,N/A,,Mostly Cloudy,170,2014-10-18 01:20:00
2:50 AM,17.0,15.0,88,1009,10.0,South,18.5,-,N/A,,Scattered Clouds,170,2014-10-18 01:50:00
3:20 AM,17.0,15.0,88,1009,10.0,South,14.8,-,N/A,,Partly Cloudy,170,2014-10-18 02:20:00
3:50 AM,17.0,15.0,88,1009,10.0,South,16.7,-,N/A,,Partly Cloudy,170,2014-10-18 02:50:00
4:20 AM,17.0,15.0,88,1009,10.0,South,16.7,-,N/A,,Unknown,170,2014-10-18 03:20:00
4:50 AM,17.0,14.0,82,1009,10.0,South,13.0,-,N/A,,Unknown,180,2014-10-18 03:50:00
5:20 AM,17.0,14.0,82,1009,10.0,South,14.8,-,N/A,,Unknown,170,2014-10-18 04:20:00
5:50 AM,18.0,14.0,77,1009,10.0,South,9.3,-,N/A,,Unknown,180,2014-10-18 04:50:00
6:20 AM,18.0,14.0,77,1009,-9999.0,South,11.1,-,N/A,,Clear,190,2014-10-18 05:20:00
6:50 AM,18.0,14.0,77,1009,-9999.0,South,13.0,-,N/A,,Clear,180,2014-10-18 05:50:00
7:20 AM,18.0,15.0,83,1009,-9999.0,South,14.8,-,N/A,,Clear,190,2014-10-18 06:20:00
7:50 AM,18.0,15.0,83,1009,-9999.0,South,16.7,-,N/A,,Clear,180,2014-10-18 06:50:00
8:20 AM,18.0,15.0,83,1010,-9999.0,South,18.5,-,N/A,,Clear,190,2014-10-18 07:20:00
8:50 AM,19.0,15.0,78,1010,-9999.0,SSW,18.5,-,N/A,,Clear,200,2014-10-18 07:50:00
9:20 AM,19.0,15.0,78,1010,-9999.0,South,20.4,-,N/A,,Clear,180,2014-10-18 08:20:00
9:50 AM,20.0,15.0,73,1010,-9999.0,SSW,20.4,-,N/A,,Clear,200,2014-10-18 08:50:00
10:50 AM,20.0,15.0,73,1010,10.0,SSW,27.8,-,N/A,,Scattered Clouds,200,2014-10-18 09:50:00
11:20 AM,20.0,15.0,73,1011,10.0,SSW,25.9,-,N/A,,Mostly Cloudy,200,2014-10-18 10:20:00
12:20 PM,20.0,15.0,73,1011,10.0,SSW,24.1,-,N/A,,Mostly Cloudy,210,2014-10-18 11:20:00
12:50 PM,20.0,15.0,73,1011,10.0,SSW,24.1,-,N/A,,Mostly Cloudy,210,2014-10-18 11:50:00
1:20 PM,20.0,15.0,73,1011,10.0,SSW,18.5,-,N/A,,Mostly Cloudy,210,2014-10-18 12:20:00
1:50 PM,20.0,15.0,73,1011,10.0,SSW,20.4,-,N/A,,Mostly Cloudy,200,2014-10-18 12:50:00
2:20 PM,20.0,15.0,73,1011,10.0,SSW,22.2,-,N/A,,Mostly Cloudy,200,2014-10-18 13:20:00
2:50 PM,20.0,15.0,73,1011,10.0,SSW,20.4,-,N/A,,Overcast,210,2014-10-18 13:50:00
3:20 PM,20.0,15.0,73,1011,10.0,SW,20.4,-,N/A,,Mostly Cloudy,220,2014-10-18 14:20:00
3:50 PM,19.0,16.0,83,1012,7.0,SSW,22.2,-,N/A,,Drizzle,210,2014-10-18 14:50:00
4:20 PM,19.0,16.0,83,1012,10.0,SSW,20.4,-,N/A,,Scattered Clouds,210,2014-10-18 15:20:00
4:50 PM,19.0,16.0,83,1012,10.0,SSW,13.0,-,N/A,,Partly Cloudy,210,2014-10-18 15:50:00
